field_1,field_2,field_3
115.739811274308835,-32.049141315313214,-13.845000000000001
115.739812244971461,-32.049142362353628,-13.833000000000000
115.739814302499411,-32.049140614736025,-13.863000000000000
115.739815189801106,-32.049141561719019,-13.916000000000000
115.739818155440005,-32.049140788353590,-13.952999999999999
115.739819084484054,-32.049141780855471,-13.980000000000000
115.739793268097088,-32.049138267684931,-13.208000000000000
115.739794144684836,-32.049139223582344,-13.250999999999999
115.739797016743680,-32.049138322996058,-13.340000000000000
115.739797862055667,-32.049139242499344,-13.400000000000000
115.739800787435797,-32.049138315380745,-13.483000000000001
115.739801664023645,-32.049139271278115,-13.529000000000000
115.739804642354230,-32.049138344685872,-13.608000000000001
115.739805539998670,-32.049139309813327,-13.646000000000001
115.739808539509426,-32.049138383431561,-13.737000000000000
115.739809437277529,-32.049139339539437,-13.781000000000001
115.739812423602118,-32.049138602462932,-13.824999999999999
115.739813362988940,-32.049139613109261,-13.843000000000000
115.739816297104753,-32.049138821388908,-13.891000000000000
115.739817215805886,-32.049139795746413,-13.927000000000000
115.739819272962805,-32.049138075187393,-13.936000000000000
115.739820233282643,-32.049139104083345,-13.936000000000000
115.739821141517353,-32.049140069315989,-13.986000000000001
115.739822933180122,-32.049138400242079,-14.032999999999999
115.739790680076212,-32.049135445511602,-13.064000000000000
115.739791514921635,-32.049136355890106,-13.124000000000001
115.739792381042889,-32.049137302662686,-13.169000000000000
115.739794397199660,-32.049135482467825,-13.201000000000001
115.739795263444535,-32.049136420220826,-13.250000000000000
115.739796129689410,-32.049137357973819,-13.298999999999999
115.739798230196016,-32.049135565679876,-13.303000000000001
115.739799106907427,-32.049136512557695,-13.351000000000001
115.739799889667808,-32.049137359272819,-13.441000000000001
115.739802857408279,-32.049136432575331,-13.520000000000000
115.739803734243324,-32.049137370433563,-13.569000000000001
115.739806765029826,-32.049136480445910,-13.637000000000000
115.739807693950084,-32.049137481967442,-13.661000000000000
115.739809657279693,-32.049135652226347,-13.730000000000000
115.739810565514290,-32.049136617459055,-13.770000000000000
115.739811494558211,-32.049137609960987,-13.802000000000000
115.739813489039932,-32.049135825633471,-13.821999999999999
115.739814407741008,-32.049136799991011,-13.859000000000000
115.739815368060789,-32.049137828887005,-13.863000000000000
115.739817372885298,-32.049136062703809,-13.901000000000000
115.739818343671573,-32.049137100724622,-13.901000000000000
115.739821064378333,-32.049136424152621,-13.977000000000000
115.739822024821777,-32.049137444029014,-13.986000000000001
115.739823816113599,-32.049135802013751,-14.002000000000001
115.739824745281283,-32.049136785496053,-14.035000000000000
115.739785483018423,-32.049133652830292,-12.773000000000000
115.739786265655042,-32.049134508565054,-12.849000000000000
115.739789031194732,-32.049133652023833,-12.936000000000000
115.739789876506606,-32.049134571527183,-12.991000000000000
115.739792779470250,-32.049133734393735,-13.054000000000000
115.739793635372266,-32.049134654002351,-13.109000000000000
115.739796476773279,-32.049133671924224,-13.211000000000000
115.739797332675323,-32.049134591532805,-13.269000000000000
115.739800258426172,-32.049133637355560,-13.353999999999999
115.739801093395315,-32.049134538714441,-13.423000000000000
115.739801928611698,-32.049135422034205,-13.497000000000000
115.739804061382884,-32.049133593977800,-13.515000000000001
115.739804927751479,-32.049134522711192,-13.571000000000000
115.739805804586567,-32.049135460569410,-13.625999999999999
115.739807872210051,-32.049133749135422,-13.632999999999999
115.739808769978126,-32.049134705243304,-13.678000000000001
115.739811641294949,-32.049133858774006,-13.755000000000001
115.739812560119617,-32.049134824111995,-13.795000000000000
115.739815504330934,-32.049134068575150,-13.851000000000001
115.739816433374841,-32.049135061077060,-13.879000000000000
115.739818266532637,-32.049133455561247,-13.888999999999999
